Cause,Title,No_of_victims
Other, Employee Is Injured By Backing Trailer ,Single
Falls, Employee'S Leg Is Injured By Moving Cart ,Single
Falls, Employee'S Foot Is Injured When Struck By Cart ,Single
Falls, Employee'S Leg Is Pinned By Golf Car ,Single
Falls, Employee Is Injured When Pinned Between Wall And Cart ,Single
Falls, Employee'S Foot Is Crushed While Operating Forklift ,Single
Falls, Employee Dies After Being Struck By Vehicle In Car Wash ,Single
Falls, Employee Of Car Wash Is Dragged By Car And Killed ,Single
Falls, Employee Is Killed When Crushed By Forklift ,Single
Falls, Employee Dies When Pinned By Golf Cart ,Single
Struck By Moving Objects, Employee Injured When Struck By Car In Carwash ,Single
Falls, Employee'S Foot Crushed By Fork Lift ,Single
Falls, Employee Injured By A Falling Garden Tractor ,Single
Falls, Employee Injured In Fall From Roof ,Single
Electrocution, Employee Is Burned When Sprayed By Injection Molding Machine ,Single
Falls, Four Employees Receive Chemical Burns From Ruptured Valve ,Multiple
Falls, Employee Sustains Gunshot Wound While Stowing Gear ,Single
Suffocation, Employee Is Killed When Struck By Closing Lid ,Single
Falls, Cement Plant Worker Is Seriously Burned By Hot Limestone ,Single
Other, Foundry Worker Is Burned By Molten Iron  Later Dies ,Single
Struck By Moving Objects, Truck Driver Receives Burns To Hands And Arms From Radiator ,Single
Struck By Moving Objects, Pawn Shop Owner Is Accidently Shot And Killed ,Single
Falls, Workers Are Exposed To Ammonia Gas When Off,Multiple
Falls, Employee Is Burned By Acid When Hose Separates ,Single
Falls, Employee'S Finger Is Injured When Gun Discharges ,Single
Falls, Four Workers Are Burned By Acid When Pipe Fails ,Multiple
Falls, Employee Dies After Exposure And Allergic Reaction ,Single
Struck By Moving Objects, Employee'S Eye Is Burned By Wet Concrete ,Single
Falls, Employee Is Burned By Heated Caustic Solution  Later Dies ,Single
Struck By Moving Objects, Employee Is Burned By Hot Liquid From Can,Single
Falls, Employee Injured When Nail Gun Accidentally Discharges ,Single
Struck By Moving Objects, Employee Killed When Caught Under Stream Of Hot Water ,Single
Falls, Employee'S Arm Burned When Splashed By Hot Tar ,Single
Falls, Employee Burned When Leaked Gasoline Ignites ,Single
Falls, Employee Is Killed When Acetone Catches Fire ,Single
Falls, Employee Suffers Asthma Attack After Exposure To Chemicals ,Single
Other, Eight Employees Are Exposed To Chemical Vapor Release ,Multiple
Fires and Explosion, Worker Cleaning Fuel Tank Is Burned When Vapors Ignite ,Single
Fires and Explosion, Worker Amputates Fingertip In Machine Accident ,Single
Fires and Explosion, Employee Dies From Burns After Acetone Fumes Ignite ,Single
Fires and Explosion, Worker Is Burned When Open Flame Ignites Acetone ,Single
Other, One Employee Dies  Two Are Injured In Paint Factory Fire ,Single
Electrocution, Employee Is Burned In Flammable Vapor Explosion ,Single
Electrocution, Employee Loses Consciousness When Exposed To Spray Paint ,Single
Other, Two Employees Are Burned  One Dies When Acetone Ignites ,Multiple
Suffocation, Employee Burns Forearms When Chemical Vapors Ignite ,Single
Suffocation, Three Employees Burned When Acetone Vapors Ignite ,Multiple
Other, Employee Burned When Vapors Ignite ,Single
Falls, Employee Hospitalized When Burned By Ignited Acetone ,Single
Fires and Explosion, One Employee Killed  Two Injured In Flash Fire ,Single
Electrocution, Two Employees Burned In Flash Fire On Boat ,Multiple
Struck By Moving Objects, One Employee Killed In Spray Booth Explosion And Fire ,Single
Falls, Employees Injured During Explosion ,Multiple
Struck By Moving Objects, Three Employees Injured When Acetone Vapors Ignited ,Multiple
Struck By Moving Objects, Employee Is Caught By Fallen Trellis  Suffers Fractures ,Single
Collapse of object, Employee Is Burned While Operating Cutting Torch ,Single
Collapse of object, Employee Is Killed By Falling Pipe ,Single
Falls, Employee Is Injured In Explosion ,Single
Collapse of object, Employee Is Killed When Crushed Under Collapsed Wall ,Single
Falls, Employee Is Severly Burned In Explosion ,Single
Falls, Employee Is Burned While Using Acetylene Torch ,Single
Falls, Worker Using Cutting Torch Is Killed When Tank Explodes ,Single
Falls, Employee Is Injured In Fall From Scissor Lift ,Single
Suffocation, Two Employees' Faces Are Burned When Motor Oil Ignites ,Multiple
Falls, Employee Dies After Fall Through Floor Opening ,Single
Falls, Employee Is Injured When Struck By Metal Door ,Single
Electrocution, Employee Receives Burns Using Cutting Torch ,Single
Suffocation, Employee Contacts Torch Flame  Is Burned  Later Dies ,Single
Falls, One Employee Is Killed And Injured In Explosion ,Single
Suffocation, Employee Receives 2nd And 3rd Degree Burns From Flash Fire ,Single
Falls, Employee Is Burned While Cutting Top Off Drum ,Single
Falls, Employee Is Killed In Fire In Water Tank Truck ,Single
Falls, Employee Is Burned By Acetylene Explosion ,Single
Suffocation, Employee Is Crushed And Asphyxiated By Falling Rail Car Wall ,Single
Struck By Moving Objects, Employee Burned When Natural Gas Line Ignites And Explodes ,Single
Struck By Moving Objects, Employee Is Killed In Explosion ,Single
Exposure to extreme temperatures, One Employee Dies  One Is Injured In Tire Explosion ,Single
Falls, Employee'S Fractures Leg When Acrylic Glass Panel Collapses ,Single
Falls, Employee Killed In Explosion Of Charge Tank ,Single
Other, Employees Evacuated Following Spill In Polymerization Unit ,Multiple
Falls, Chemical Spill  No Injuries ,Single
Other, Intoxicated By Acrylic Monomer ,Single
Other, Employee Falls Off Ladder  Injures Back And Pelvis ,Single
Struck By Moving Objects, Employee Is Struck And Killed By Falling Highway Board Sign ,Single
Collapse of object, Worker Suffers Fracture In Fall While Removing Casino Sign ,Single
Collapse of object, Electric Shock ,Single
Collapse of object, Employee Is Killed In Fall From Billboard ,Single
Collapse of object, Employee Fractures Leg In Fall Off Guardrail ,Single
Other, Employee Is Exposed To Toxic Fumes ,Single
Falls, Employer Is Killed While Erecting Billboard ,Single
Other, Employee'S Wrist Is Fractured In Fall From Ladder ,Single
Falls, Employee Is Injured In Fall From Ladder ,Single
Falls, Employee Is Injured In Aerial Lift Collapse ,Single
Falls, Employee Is Injured In Fall From Storefront Awning ,Single
Struck By Moving Objects, Employee Is Killed By Fall And Impalement ,Single
Other, Employee'S Fingertip Amputated By Falling Toad Sign ,Single
Falls, Worker Seriously Injured By Contracting Boom ,Single
Falls, Employee Is Killed In Fall From Billboard Ladder ,Single
Struck By Moving Objects, Employee Is Injured In Fall From Mobile Stair ,Single
Electrocution, Employee Electrocuted While Painting Outdoor Sign ,Single
Falls, Employee Is Killed In Fall From Aerial Ladder ,Single
Other, Employee Is Killed In Fall From Billboard Catwalk ,Single
Electrocution, Employee Is Killed When Struck By Tree Limb ,Single
Electrocution, Employee Is Struck And Killed By I,Single
Falls, Employee Falls And Is Killed When Struck By Forklift ,Single
Falls, Three Workers Are Injured When Struck By Collapsing Trusses ,Multiple
Electrocution, Painter Falls From Lift  Injures Head  And Dies ,Single
Falls, Worker'S Face Is Crushed Between Scissor Lift And Pipe ,Single
Falls, Supervisor Is Ejected From Aerial Lift And Killed In Fall ,Single
Falls, Tree Worker Is Killed When Tree Falls Into Aerial Lift Boom ,Single
Suffocation, Carpenter Sustains Laceration When Saw Kicks Back ,Single
Falls, Employee Suffers Leg Injury In Basket Lift Incident ,Single
Caught in/between Objects, Employee Falls From Aerial Manlift ,Single
Other, Employee Gets Finger Amputation ,Single
Struck By Moving Objects, Employee Falls From A Roof ,Single
Other, Employee Is Killed When Lift Bucket Falls Into Creek ,Single
Caught in/between Objects, Drywall Installer Falls From Scissor Lift And Injures Head ,Single
Caught in/between Objects, Two Employees Receive Electric Shock  One Is Killed ,Multiple
Struck By Moving Objects, Worker In Aerial Lift Amputates Tip Of Index Finger ,Single
Other, Employee Suffers Multiple Fractues In Fall From Scissor Lift ,Single
Falls, Employee Installing Light Fixture Is Electrocuted ,Single
Falls, Worker'S Ankle Is Fractured When Aerial Lift Falls Into Pit ,Single
Struck By Moving Objects, Employee'S Arm Fractures Between Truck'S Lift And Bucket ,Single
Struck By Moving Objects, Employee Is Killed When Thrown From Aerial Work Platform ,Single
Falls, Electrician Is Electrocuted While Removing Fixture ,Single
Falls, Employee Dies When Pinned Inside Aerial Lift Platform ,Single
Falls, Employee Is Killed When Pinned By Aerial Lift ,Single
Struck By Moving Objects, Worker Is Killed In Fall From Bucket Of Aerial Lift ,Single
Struck By Moving Objects, Workerr Contacts High Voltage Line  Gets Shocked And Burned ,Single
Struck By Moving Objects, Employee Is Killed In Fall From Aerial Lift ,Single
Struck By Moving Objects, Employee Dies When Crushed By Aerial Lift ,Single
Caught in/between Objects, Lineman Tree Trimming Is Electrocuted By Overhead Power Line ,Single
Other, Employee Killed When Crushed Between Aerial Basket And Wall ,Single
Collapse of object, Employee Killed When Crushed Between Lift Controls And Beam ,Single
Struck By Moving Objects, Two Injured When Caught Between Boom Basket And Wall ,Multiple
Struck By Moving Objects, One Employee Killed  One Injured When Caught By Lift Basket ,Single
Struck By Moving Objects, Employee Is Killed When Pinned By Aerial Lift ,Single
Other, Employee Installing Beam Is Pinned In Aerial Lift And Killed ,Single
Other, Employee Is Asphyxiated While Working From Aerial Lift ,Single
Falls, Employee Killed When Caught Between Lift Rail And Ceiling ,Single
Struck By Moving Objects, Employee Is Killed When Pinned In Aerial Lift ,Single
Struck By Moving Objects, Employee Is Killed While Working In Aerial Lift ,Single
Struck By Moving Objects, Farm Worker Falls In A Depresion In A Field  Fractures Leg ,Single
Struck By Moving Objects, Worker Run Over While Servicing A Piece Of Farm Equipment ,Single
Struck By Moving Objects, Racehorse Kicks Horse Groomer  Who Later Dies From Injuries ,Single
Other, Worker Injured When Utility Vehicle Crashes Into Ag Tractor ,Single
Struck By Moving Objects, Tractor Operator Is Crushed And Killed In Tractor Roll,Single
Struck By Moving Objects, Worker Slips And Falls While Mopping Floor  Suffers Fracture ,Single
Struck By Moving Objects, Grape Farm Worker Fractures Arm While Dismounting Tractor ,Single
Struck By Moving Objects, Dairy Truck Driver Burns Eyes When Sprayed With Acid ,Single
Electrocution, Trailer Fire Causes Burns To Upper Body Of Worker ,Single
Other, Worker Suffers Heat Illness While Removing Almonds From Tree ,Single
Caught in/between Objects, Roof Truss Falls And Kills Worker At Dairy Farm ,Single
Electrocution, Employee Is Found Dead In Truck From Drug Overdose ,Single
Caught in/between Objects, Employee Falls Sick While Picking Lettuce ,Single
Struck By Moving Objects, Employee Falls Ill While Collecting Almonds ,Single
Struck By Moving Objects, Laborer Punctures Arm On Tree Branch In Fall From Ladder ,Single
Struck By Moving Objects, Worker Sustains Fracture When Struck By Forklift ,Single
Caught in/between Objects, Farm Worker Sustains Fractures From Fall Or Being Run Over ,Single
Struck By Moving Objects, Employee Is Injured Falling From Ladder ,Single
Struck By Moving Objects, Employee Dies From Preexisting Condition ,Single
Struck By Moving Objects, Worker Falls From Barn'S Roof And Fractures Neck ,Single
Struck By Moving Objects, Employee Is Crushed By Van And Killed ,Single
Other, Employee Falls While Lifting Equipment  Later Dies ,Single
Struck By Moving Objects, Employee Falls From An A,Single
Other, Employee Falls From Fixed Roof Ladder  Sustains Fractures ,Single
Struck By Moving Objects, Hvac Installer Is Seriously Injured In Fall From Roof ,Single
Struck By Moving Objects, Maintenance Worker Fractures Leg In Fall From Ladder ,Single
Struck By Moving Objects, Technician Dies Of Pulmonary Embolism After Fall From Ladder ,Single
Falls, Worker Fractures Ribs And Leg In Fall From Ladder ,Single
Electrocution, Employee Amputates Fingertip In Fan Belt ,Single
Electrocution, Employee Amputates Finger Between Handle And Slot Edge ,Single
Drowning, Employee Faints In Non Air Conditioned Kitchen ,Single
Struck By Moving Objects, Worker Falls Through Skylight And Is Killed ,Single
Drowning, Hvac Mechanic Is Severely Injured By Rotating Shaft ,Single
Falls, Electric Shock ,Single
Struck By Moving Objects, Worker Amputates Fingertip While Servicing Air Conditioner ,Single
Falls, Electric Shock ,Single
Struck By Moving Objects, Electric Shock ,Single
Struck By Moving Objects, Employee Is Electrocuted After Contacting Heater Coils ,Single
Falls, Employee Fractures Leg When Struck By Falling Equipment ,Single
Falls, Employee Is Killed In Fall From Height ,Single
Struck By Moving Objects, Employee Is Exposed To Psyllium Dust  Suffers Asthma Attack ,Single
Falls, Employee Is Killed From Ammonia Release ,Single
Struck By Moving Objects, Workers Are Overcome By Carbon Monoxide Poisoning ,Multiple
Falls, Employee Is Exposed To Anhydrous Ammonia ,Single
Collapse of object, Employee Is Killed When Exposed To Airborne Fungus ,Single
Other, Employee Is Sickened By Atmospheric Hazards In Trench ,Single
Falls, Employee Is Asphyxiated By Freon ,Single
Struck By Moving Objects, Employee Is Exposed To Cleaning Agent  Later Dies ,Single
Falls, One Employee Is Killed  Two Hospitalized In Manhole Accident ,Single
Struck By Moving Objects, Five Employees Are Over Exposed To Carbon Monoxide ,Multiple
Struck By Moving Objects, Employee Is Killed When Asphyxiated In Oil Storage Tank ,Single
Falls, Sixteen Employees Are Exposed To Ammonia Release ,Multiple
Other, Employee Is Asphyxiated By Heptane ,Single
Falls, Employees Are Exposed To Carbon Monoxide  No Fatalities ,Multiple
Other, Employee Is Asphyxiated By Carbon Monoxide Exposure ,Single
Other, Two Employees Are Burned When Flammable Vapors Explode ,Multiple
Drowning, Hydrogen Sulfide Overexposure Kills Three Workers ,Multiple
Collapse of object, Employee Is Injured By Air Freshener ,Single
Struck By Moving Objects, Employee Is Injured By Air Freshener ,Single
Other, Employee With Lung Condition Is Possibly Exposed To Mold ,Single
Falls, Employee Fractures Leg When He Tripped Over Air Hose ,Single
Other, Employee Suffers Fractures When Blown Into A Forklift ,Single
Struck By Moving Objects, Employee Amputates Finger On Food Product Auger ,Single
Caught in/between Objects, Worker Injured When Puleed Into A Moving Cotton Card Machine ,Single
Falls, Employee Is Shot And Injured By Nail Gun ,Single
Suffocation, Employee'S Finger Is Fractured By Moving Machine Part ,Single
Fires and Explosion, Employee'S Fingers Are Lacerated By Band Saw ,Single
Struck By Moving Objects, Employee'S Finger Is Injured When Caught By Valve ,Single
Falls, Employee Is Killed While Cleaning Machine ,Single
Electrocution, Worker Amputates Finger When Butterfly Valve Closes ,Single
Struck By Moving Objects, Employee'S Hand Is Injected With Paint ,Single
Other, Employee Is Killed When Crushed While Cleaning Paper Baler ,Single
Other, Employee'S Finger Tip Is Amputated In Liquid Filling Machine ,Single
Suffocation, Employee Is Injured In Trip Over Air Hose ,Single
Other, Employee Amputates Finger With Pneumatic Crimping Tool ,Single
Other, Employee Is Struck By Air Hose  Suffers Lacerations ,Single
Electrocution, Employee Is Caught In Conveyor  Sustains Lacerations ,Single
Electrocution, Employee Injures Eye While Using Air Hose ,Single
Electrocution, Employee'S Finger Is Amputated By Chain And Sprocket ,Single
Falls, Employee Lacerates Hand When Tire Explodes ,Single
Struck By Moving Objects, Employee'S Fingers Are Amputated When Caught By Conveyor ,Single
Collapse of object, Worker'S Fingertips Are Amputated When Punch Press Cycles ,Single
Struck By Moving Objects, Worker'S Fingertip Is Amputated When Punch Press Activates ,Single
Falls, Worker Dies After Being Struck By Compressed Air Valve ,Single
Other, Worker Is Asphyxiated In Fall Into Trailer Of Cotton Seed ,Single
Struck By Moving Objects, Employee Is Pinned Under And Drug By Truck ,Single
Other, Employee Amputates Finger On Moving Valve ,Single
Other, Employee Amputates Fingertip In Pneumatic Pruner ,Single
Other, Worker Amputates Thumb In Air,Single
Falls, Employee Lacerates Arm And Face When Tire Expodes ,Single
Fires and Explosion, Employee Is Injured When Tire Explodes ,Single
Falls, Employee Dies After Exposure To Chlorine ,Single
Struck By Moving Objects, Employee Dies From Exhaust Flowing Into Breathing Apparatus ,Single
Falls, Employee Suffers A Fractured Pelvis In Crane Accident ,Single
Falls, Employee Is Killed When Caught In Debarking Machine ,Single
Collapse of object, Carpenter Falls From Bridge Pier And Drowns ,Single
Caught in/between Objects, Employee Dies Of Carbon Monoxide Exposure ,Single
Falls, Diver Is Killed When Pulled Into Boat Propeller ,Single
Falls, Employee Dies From Asphyxiation ,Single
Falls, Two Employees Die Of Asphyxia In Undersea Oil Rig ,Multiple
Falls, Employee Injured By Nitrogen Inhalation ,Single
Falls, Employee Dies From Asphyxiation ,Single
Collapse of object, Employee Dies From Asphyxiation While Sandblasting Steel ,Single
Falls, Employee Suffers Asphyxia After Inhaling Nitrogen ,Single
Struck By Moving Objects, Employee Dies Of Apparent Heart Attack After Spray Painting ,Single
Falls, Three Employees Fall Unconcious ,Multiple
Fires and Explosion, Employee Dies Of Carbon Monoxide Exposure ,Single
Caught in/between Objects, Employee Asphyxiated In Spray Booth ,Single
Electrocution, Employee Dies Of Asphyxia In Oxygen,Single
Other, Employee Killed After Overexposure To Pure Nitrogen ,Single
Electrocution, Commercial Divers Die Of Carbon Monoxide Inhalation ,Single
Falls, Employee Dies Of Asphyxia From Argon Exposure ,Single
Electrocution, Employee Dies Of Asphyxia When Nitrogen Is Fed To Respirator ,Single
Struck By Moving Objects, Two Employees Die From H2s Exposure In A Confined Space ,Multiple
Other, Employees Are Overexposed To Carbon Monoxide ,Multiple
Electrocution, Employee Is Injuried When Burned In Underground Fire ,Single
Falls, Employee Is Exposed To H2s  Dies From Possible Heart Attack ,Single
Electrocution, Three Teachers Hospitalized After Carbon Monoxide Exposure ,Multiple
Other, Employee Found Unresponsive In Grain Elevator Dies ,Single
Other, Two Employees Become Ill From Unknown Exposure ,Multiple
Electrocution, Two Employees Killed  One Injured After Entering Manhole ,Multiple
Struck By Moving Objects, Seven Employees Overcome By Carbon Monoxide ,Multiple
Struck By Moving Objects, Two Employees Die Of Asphyxia In Asphalt Tanker ,Multiple
Struck By Moving Objects, Carbon Monoxide Exposure Leads To Employee'S Fainting ,Single
Struck By Moving Objects, Employee Dies From Asphyxiation ,Single
Other, Two Employees Injured In Separate Propane Explosions ,Multiple
Struck By Moving Objects, Employee Dies Of Asphyxia In Manhole ,Single
Falls, Two Employees Die In Chemical Tank ,Multiple
Struck By Moving Objects, Employee Dies Of Asphyxiation In Chemical Tank ,Single
Struck By Moving Objects, Employee Catches Thumb In Machine And Is Amputated ,Single
Caught in/between Objects, Machine Operator Amputates Finger While Working On Mold ,Single
Caught in/between Objects, Machine Operator Is Caught When Machine Actuates ,Single
Falls, Employee Suffers Face Lacerations When Truck Tire Explodes ,Single
Falls, Employee Fractures Hand When Tire Being Mounted Ruptures ,Single
Falls, Employee Is Injured When Struck By Jack Ram ,Single
Falls, Employee'S Leg Is Lacerated Struck By Object ,Single
Falls, Employee'S Finger Is Crushed By Air Vent Press ,Single
Falls, Employee Is Burned While Cleaning Seperation Tank ,Single
Falls, Employee Is Crushed By Industrial Truck ,Single
Falls, Flight Instructor Is Hospitalized In Wind Tunnel Accident ,Single
Struck By Moving Objects, Employee Is Injured After Struck By Shattered Guard ,Single
Struck By Moving Objects, Worker Making Irrigation Pipe Is Killed By Pressurized Plug ,Single
Collapse of object, Employee Is Killed When Pressurized Drum Explodes ,Single
Struck By Moving Objects, Employee Dies After Being Struck By Well Valve Assembly ,Single
Other, Employee Is Killed While Repairing Truck ,Single
Struck By Moving Objects, Employee Is Killed When Struck In The Head By Tire Rim ,Single
Collapse of object, Employee Is Killed When Struck By Press Roll End Cap ,Single
Caught in/between Objects, Employee Is Stuck In Air Return  Suffocates And Is Killed ,Single
Other, Explosion Results In Employee Leg Amputation ,Single
Falls, Employee Is Burned Fighting Fire After Air Tank Explosion ,Single
Falls, Employee Killed When Caught Between Crane Structure And Beam ,Single
Collapse of object, Employee Killed In Fall While Working On Air Handling Unit ,Single
Collapse of object, Employees Lacerated By Pieces Of Exploding Air Receiver ,Multiple
Electrocution, Employee Killed When Head Struck By Flying End Plate ,Single
Falls, Air Receiver Exploded  Killing Employee ,Single
Caught in/between Objects, Air Receiver Ruptured; End Piece Struck And Killed Worker ,Single
Collapse of object, Compressed Air Tank Exploded ,Single
Falls, Employee Fractures Ankle When Part Of A Window Frame Drops ,Single
Falls, Employee Falls Down Shaft  Suffers Contusions ,Single
Falls, Employee'S Fingers Are Amputated In Machinery ,Single
Falls, Employee Killed In Fall From Air Shaft ,Single
Falls, Employee Injured By Fall Into Vertical Air Shaft ,Single
Falls, Employee Killed In Fall Through Skylight Down Hvac Shaft ,Single
Collapse of object, Employee Killed In Fall Down Hvac Duct ,Single
Falls, Employee Killed In Fall Down Shaft ,Single
Collapse of object, Employee Killed In Fall To Bottom Of Air Intake Shaft ,Single
Struck By Moving Objects, Employee Injured In Fall Through Metal Grate Over Air Shaft ,Single
Collapse of object, Security Guard Injured In Fall Into Hotel Shaft ,Single
Collapse of object, Employee Breaks Both Legs In Fall Down Shaft ,Single
Falls, Employee Dies In Fall Through Air Duct ,Single
Falls, Employee Hospitalized After Fall From Air Shaft ,Single
Falls, Employee Killed Due To Fall Down Air Draft System ,Single
Falls, Grout Mixture Hit Faces And Eyes When Pipe Comes Apart ,Single
