Cause,Title
Falls, Painter Falls From Lift  Injures Head  And Dies 
Caught in/between Objects, Worker'S Face Is Crushed Between Scissor Lift And Pipe 
Falls, Supervisor Is Ejected From Aerial Lift And Killed In Fall 
Other, Employee Suffers Leg Injury In Basket Lift Incident 
Falls, Employee Falls From A Roof 
Falls, Drywall Installer Falls From Scissor Lift And Injures Head 
Electrocution, Two Employees Receive Electric Shock  One Is Killed 
Falls, Employee Suffers Multiple Fractues In Fall From Scissor Lift 
Falls, Worker'S Ankle Is Fractured When Aerial Lift Falls Into Pit 
Struck By Moving Objects, Employee Dies When Pinned Inside Aerial Lift Platform 
Suffocation, Employee Is Killed When Pinned By Aerial Lift 
Falls, Employee Is Killed In Fall From Aerial Lift 
Suffocation, Employee Killed When Crushed Between Aerial Basket And Wall 
Struck By Moving Objects, Employee Killed When Crushed Between Lift Controls And Beam 
Struck By Moving Objects, Two Injured When Caught Between Boom Basket And Wall 
Struck By Moving Objects, Employee Is Killed When Pinned By Aerial Lift 
Struck By Moving Objects, Employee Is Asphyxiated While Working From Aerial Lift 
Struck By Moving Objects, Employee Is Killed When Pinned In Aerial Lift 
Struck By Moving Objects, Roof Truss Falls And Kills Worker At Dairy Farm 
Falls, Worker Falls From Barn'S Roof And Fractures Neck 
Falls, Employee Falls While Lifting Equipment  Later Dies 
Falls, Employee Falls From An A
Falls, Employee Falls From Fixed Roof Ladder  Sustains Fractures 
Falls, Hvac Installer Is Seriously Injured In Fall From Roof 
Other, Employee Amputates Fingertip In Fan Belt 
Falls, Worker Falls Through Skylight And Is Killed 
Electrocution, Electric Shock 
Electrocution, Employee Is Electrocuted After Contacting Heater Coils 
Struck By Moving Objects, Employee Fractures Leg When Struck By Falling Equipment 
Suffocation, One Employee Is Killed  Two Hospitalized In Manhole Accident 
Fires and Explosion, Two Employees Are Burned When Flammable Vapors Explode 
Drowning, Carpenter Falls From Bridge Pier And Drowns 
Suffocation, Employee Suffers Asphyxia After Inhaling Nitrogen 
Fires and Explosion, Employee Is Injuried When Burned In Underground Fire 
Other, Employee Is Exposed To H2s  Dies From Possible Heart Attack 
Suffocation, Two Employees Become Ill From Unknown Exposure 
Falls, Employee Killed In Fall From Air Shaft 
Falls, Employee Killed In Fall Through Skylight Down Hvac Shaft 
Falls, Employee Killed In Fall Down Hvac Duct 
Falls, Employee Killed In Fall Down Shaft 
Other, Worker Paving Airstrip Is Struck By Airplane And Decapitated 
Other, Employee Killed When Helicopter Crashes During Cable Work 
Collapse of object, Demolition Worker Is Injured When Roof Collapses 
Electrocution, Electric Shock 
Other, Contact With Buried Conductor Thru Backhoe 
Struck By Moving Objects, Worker Is Killed When Run Over By Backing Skid Steer 
Struck By Moving Objects, Backing Forklift Pins Worker'S Leg 
Struck By Moving Objects, Employee Is Run Over And Killed By Backing Skid Loader 
Other, Employee Is Injured When Struck By Vehicle Backing Up 
Struck By Moving Objects, Employee Is Injured In Back Over 
Struck By Moving Objects, Employee Is Fatally Injured When Run
Struck By Moving Objects, Employee Is Killed In Dump Truck Backover 
Struck By Moving Objects, Employee Is Struck And Killed By Motor Vehicle 
Struck By Moving Objects, Employee Is Injured In Truck Back Over 
Struck By Moving Objects, Employee Is Killed In Skid Steer Backover 
Struck By Moving Objects, Landscape Worker Is Struck And Killed By Motorist 
Falls, Worker Killed In Fall Down Stairs At After Hours Party 
Struck By Moving Objects, Employee Is Struck And Killed By Truck 
Fires and Explosion, Employee Is Burned While Spray Painting 
Falls, Employee Killed In Fall From Communications Tower 
Other, Employee Suffers Eye Injury From Epoxy Glue On Glove 
Other, Employee Dies From Allergic Reaction To Bee Stings 
Fires and Explosion, One Employee Dies Another Injured  In Dust Explosion 
Suffocation, Employee Is Injured In Ammonia Exposure 
Other, Worker Using Power Hand Drill Sustains Finger Amputation 
Other, Foreman'S Finger Is Amputated When Unguarded Saw Kicks Back 
Other, Skilsaw Blade Jumps And Ampuates Carpenters Finger 
Caught in/between Objects, Employee Amputates Finger While Cleaning Pump 
Other, Employee Partially Amputates Thumb With Circular Saw 
Falls, Employee Falls Demolishing Amusement Ride  Is Killed 
Falls, Employee Falls From Roof And Is Killed 
Falls, Carpenter Is Injured In Fall From Wall 
Falls, Employee Fractures Back In Fall From Roof 
Falls, Construction Worker Sustains Fractures In Fall From Roof 
Falls, Worker Dies In Fall From Cellular Tower 
Falls, Employee Falls From Decking And Is Killed 
Falls, Dam Worker Ties
Falls, Worker Falls From Roof And Sustains Multiple Fractures 
Struck By Moving Objects, Employee Is Killed When Struck By Falling Ceiling 
Falls, Roofer Is Killed In Fall From House 
Falls, Carpenter Is Injured In Fall From Ladder 
Falls, Worker Survives Sixty
Electrocution, Employee Sustains Electric Shock 
Falls, Roofer Falls 40 Feet And Dies While Wearing Ppe 
Falls, Worker Falls From Ladder And Sustains Serious Brain Injury 
Suffocation, Two Employees Are Exposed To Anhydrous Ammonia 
Falls, Worker Falls From Ladder And Fractures Leg And Ankle 
Other, Employee Cuts Ankle With Saw 
Struck By Moving Objects, Two Employees Are Struck By Flatbed Truck  One Is Killed 
Struck By Moving Objects, Worker'S Foot Is Crushed During Mobile Home Installation 
Falls, Two Workers Are Injured When Struck By Falling Plywood 
Falls, Worker Fractures Ankle In Fall From Unsecured Plank 
Falls, Employee Falls And Fractures Ankle During Roof Work 
Falls, Worker Falls And Breaks Foot When Ladder Falls 
Falls, Employee Is Killed In Fall From Tower 
Struck By Moving Objects, Employee'S Finger Is Amputated While Lowering Antennas 
Falls, Employee Is Killed In Fall Off Tower 
Struck By Moving Objects, Employee Is Killed When Forklift Flips Over 
Falls, Employee Is Killed In Fall From Tower 
Struck By Moving Objects, Employee Is Killed When Struck By Antenna 
Falls, Employee Killed In Fall From Communication Tower 
Falls, Employee Killed In Fall From Communication Tower 
Falls, Employee Killed In Fall From Tower 
Falls, Employee Injured By Fall While Descending Antenna Tower 
Other, Maintenance Worker Catches On Fire While Arc Cutting 
Fires and Explosion, Employee Suffers Thermal Burns To Rights Side Of Body 
Fires and Explosion, Worker Is Burned While Arc Welding 
Fires and Explosion, Employee Receives Burn When Garment Catches Fire 
Fires and Explosion, Employee Sustains Burns Using Carbon Arc Welder 
Other, Employee Found Dead After Arc Welding Support Pole 
Electrocution, Employee Electrocuted In Contact With Arc Welder Cables 
Electrocution, Employee Electrocuted While Arc Welding 
Other, Employee Received Burns From Arc Flash 
Suffocation, Employee Asphyxiated By Argon In Confined Space 
Suffocation, Employee Dies Of Asphyxia From Inhalation Of Argon Gas 
Other, Foreman Operating Chop Saw Cuts Lower Arm 
Falls, Employee Falls Off Roof And Fractures Arm 
Fires and Explosion, Employee Suffers Burns When Caught In Flash Fire 
Electrocution, Electric Shock 
Struck By Moving Objects, Employee Struck By Sliver Of Metal  Later Dies 
Falls, Worker Incurs Arterial Tear From Scaffold Fall And Dies 
Struck By Moving Objects, Employee Crushed By Steel Drill Casing 
Struck By Moving Objects, Owner Is Killed When Saw Cuts Artery 
Collapse of object, Employee Is Killed In Rescue Attempt With Backhoe 
Collapse of object, Multiple Employees Are Injured In Scaffold Collapse 
Falls, Employee Fractures Ankle After Jumping Off Ladder 
Collapse of object, Employee Is Killed When Struck By Collapsing Wall 
Falls, Employee Is Injured In Fall While Installing Decking 
Falls, Employee Dies When He Falls Off Ladder 
Falls, Employee Is Injured In Fall From Ladder 
Falls, Employee Is Killed In Fall Through Opening In Floor 
Suffocation, Employee Is Crushed And Killed By Descending Elevator Car 
Falls, Employee Is Killed In Fall From Roof 
Falls, Employee Falls Down Elevator Shaft 
Electrocution, Employee Electrocuted During Asbestos Removal 
Suffocation, Employee Dies From Mesothelioma 
Falls, Employee Killed By Fall From Roof Framework 
Suffocation, Ten Employees Injured By Carbon Monoxide Exposure 
Falls, Employee Suffers Head And Back Injuries In Fall 
Falls, Employee Killed In Fall From Elevated Platform 
Falls, Employee Injured In Fall From Moving Scaffold 
Suffocation, Employee Dies Of Asphyxia When Engulfed By Fly Ash 
Struck By Moving Objects, Employee Is Killed When Struck By Vehicle 
Struck By Moving Objects, Employee Is Run Over By Dump Truck And Killed 
Exposure to extreme temperatures, Worker Paving Highway Experiences Heat Related Illness 
Falls, Employee Suffers Two Fractured Legs Falling From Roof 
Falls, Power Buggy Driver Is Catapulted  Incurs Head  Knee Injuries 
Other, Roofer'S Hand And Wrist Are Burnt By Hot Asphalt 
Falls, Employeed Falls From Dump Truck 
Other, Worker Carrying Hot Asphalt Falls And Burns Forearm 
Other, Employee Burns Hand Pouring Hot Asphalt 
Struck By Moving Objects, Employee Is Killed When Caught Between Vehicle And House 
Collapse of object, Demolition Worker Is Fatally Crushed By Falling Concrete 
Collapse of object, Demolition Worker Is Killed In Trench Collapse 
Collapse of object, Carpenter Is Killed In Excavation Collapse 
Collapse of object, Employee Dies Of Asphyxiation When Covered By Dirt 
Other, Employee'S Thumb Is Crushed By Equipment  Later Is Amputated 
Falls, Fall From Communication Antennae Tower Hospitalizes Three 
Other, Employee Severely Injures Hand When Caught In Winch Hook 
Falls, Employee Suffers Contusions In Fall From Beam 
Falls, Employee Injured In Fall What Scaffold Rail Gives Way 
Falls, Employee Fractures Vertebra In Fall Onto Steel Protrusion 
Struck By Moving Objects, Employee'S Leg Injured When K
Other, Employee Is Killed From Fire On A Bulldozer 
Falls, Employee Dies In Fall From Crane Hook 
Falls, Employee Killed In Fall From Aerial Lift 
Struck By Moving Objects, Worker Is Killed While Installing Helical Piles At Jobsite 
Electrocution, Employee Electrocuted By Energized Plug Receptacle 
Falls, Employee Falls From Roof And Is Killed 
Other, Employee Injures Eye When Hit By Attachment Plug 
Electrocution, Electric Shock 
Electrocution, Electric Shock 
Falls, Worker Falls When Hatch Door Opens  Fractures Leg And Wrist 
Falls, Employee Is Killed In Fall From Attic Opening 
Electrocution, Employee Is Electrocuted By Un
Falls, Employee Fractures Leg In Fall 
Falls, Worker Is Injured In Fall From Attic 
Falls, Worker Fractures Leg In Fall From Ladder 
Suffocation, Employee Is Killed In Fire While Spraying Insulation 
Falls, Employee Is Killed In Fals Through Hole In Attic 
Caught in/between Objects, Employee Amputates Hand In Construction Equipment 
Other, Employee Fractures Leg When Struck By Steel Frame 
Struck By Moving Objects, Employee Lacerates Finger When Caught By Extension Tool 
Other, Employer Is Struck And Killed By Auger 
Caught in/between Objects, Employee Injured When Caught By Auger Of Digging Machine 
Caught in/between Objects, Employee Injured While Operating Unisul Spraying Machine 
Struck By Moving Objects, Driver Strikes Two Highway Maintenance Workers  Kills One 
Other, Employee Crushed To Death In Avalanche 
Falls, Roofer Sustains Multiple Injuries In Fall From Ladder 
Falls, Employee Falls Into Trench And Is Injured 
Struck By Moving Objects, Skill Saw Kicked Back And Lacerated Solar Workers Hand 
Struck By Moving Objects, Employee Fractures Back When Struck By Wood Beam 
Falls, Supervisor Falls From Ladder And Injures Back And Head 
Falls, Worker Falls From Scaffold Ladder And Fractures Back And Hip 
Falls, Worker Injures Back When Boom Lift Runs Away On Grade 
Struck By Moving Objects, Employee Is Injured By Falling Door   Later Dies 
Struck By Moving Objects, Employee Is Injured In Loader Roll Over 
Struck By Moving Objects, Employee In Trench Is Struck In Back By Falling Dirt 
Struck By Moving Objects, Road Construction Worker Is Crushed By Roller Machine 
Caught in/between Objects, Employee Is Killed When Run Over By Trailer 
Other, Employee Crushes Finger Tip Against Bucket 
Collapse of object, Employee Suffers Skull Fractures From Structural Collapse Wi 
Struck By Moving Objects, Employee Is Crushed And Killed By Excavator 
Struck By Moving Objects, Employee Hit While In Trench By Back Hoe. 
Struck By Moving Objects, Employee Is Killed When Pinned Under Backhoe 
Other, Employee In Trench Is Struck And Killed By Bucket Of Backhoe 
Other, Backhoe Operator Is Pinned Between Boom And Outrigger 
Falls, Employee'S Tibia Is Injured When Struck By Backhoe Bucket 
Struck By Moving Objects, Employee In Trench Is Injured When Hit By Concrete Debris 
Struck By Moving Objects, Employee Is Killed When Struck By Steel Pipe 
Struck By Moving Objects, Water Well Driller'S Hand Is Crushed By Backhoe 
Struck By Moving Objects, Employee Killed Between Backhoe Boom And Outrigger 
Struck By Moving Objects, Employee Is Crushed And Killed By Backhoe Boom 
Other, Employee Fractures Ribs When Struck By Backhoe Boom 
Struck By Moving Objects, Employee Is Killed When Crushed By Backhoe Boom 
Struck By Moving Objects, Employee Killed When Struck By Backhoe 
Struck By Moving Objects, Backhoe Crushes Employee 
Struck By Moving Objects, Employee Is Killed When Crushed By Backhoe Boom 
Electrocution, Employee Electrocuted When Backhoe Boom Strikes Power Line 
Other, Employee Struck By Backhoe Boom 
Caught in/between Objects, Employee Dies When Crushed By Backhoe Bucket 
Electrocution, Electric Shock 
Caught in/between Objects, Employee Injures Leg When Struck By Manhole Base 
Struck By Moving Objects, One Is Killed  One Is Injured When Backhoe Loader Overturns 
Struck By Moving Objects, Employee Is Killed When Backhoe Tips To Side 
Struck By Moving Objects, Employee'S Finger Is Amputated By Backhoe Arm 
Caught in/between Objects, Backhoe Failure Causes Bucket To Strike Worker  Killing Him 
Struck By Moving Objects, Employee'S Leg Is Fractured When Struck By Excavator Bucket 
Struck By Moving Objects, Employee Is Injured When Pinned By Excavator Bucket 
Struck By Moving Objects, Employee Is Killed When Caught Between Loader And Backhoe 
Struck By Moving Objects, Employee Is Injured When Struck By Backhoe Bucket 
Other, Employee Killed When Struck By Loader/Backhoe Bucket 
Struck By Moving Objects, Employee Killed When Struck By Falling Excavator Bucket 
Other, Employee Is Killed When Struck By Backhoe Bucket 
Struck By Moving Objects, Employee Is Struck By Dump Truck  Dies 
Struck By Moving Objects, Non
Struck By Moving Objects, Employee Is Injured When Run Over By Truck 
Falls, Electrical Worker Is Injured In 12 Ft Fall From A Ladder 
Electrocution, Employee Receives Shock When He Came In Contact With Ballast 
Electrocution, Employee Electrocuted Changing Ballast In Light Fixture 
Drowning, Employee Falls From Barge Into River And Drowns 
Struck By Moving Objects, Employee Is Killed When Struck By Bow Spud 
Drowning, Employee Drowns When Crane Slides Off Barge 
Falls, Employee Is Injured In Fall Through Floor Opening 
Struck By Moving Objects, Worker'S Leg Is Crushed When K
Falls, Eployee Is Injured In Fall From Elevation  Later Dies 
Struck By Moving Objects, Employee'S Toes Are Crushed By Falling Rail  Later Amputated 
Struck By Moving Objects, Road Employee Is Killed When Struck By Motor Vehicle 
Falls, Worker Is Killed By Fall From Roof 
Falls, Employee Is Killed In Fall Over Road Barrier 
Struck By Moving Objects, Employee Is Struck By Excavator And Killed 
Falls, Employee Is Injured In Fall From Floor Opening 
Struck By Moving Objects, Two Employees Are Killed When Struck By Truck 
Falls, Steel Beam Erector Falls And Fractures Both Arms 
Collapse of object, One Worker Is Killed  One Is Injured By Falling Steel Beams 
Other, Steel Bean Rolls On Employee'S Foot  Amputates Toe 
Falls, Employee Falls From Beam And Suffers Multiple Injuries 
Struck By Moving Objects, Employee Is Found Dead In Elevator Shaft 
Falls, Employee Falls And Fractures Ankle 
Struck By Moving Objects, Employee Gets A Foot Amputation After Being Struck By A Stee 
Struck By Moving Objects, Worker Is Struck And Killed By Falling Steel Beam 
Falls, Employee Is Injured When Pulled Off A Bridge By Falling Beam 
Other, Employee'S Finger Is Amputated In Lathe 
Falls, Worker Falls Over Retaining Wall While Fleeing Swarm Of Bees 
Other, Worker Dies After Being Stung By Bee 
Other, Employee Is Injured By Saw While Jumping From Ladder 
Drowning, Employee Drowns In River Cleaning Debris 
Collapse of object, Employee Injured By Trench Cave In 
Struck By Moving Objects, Pipeline Worker Is Struck By Falling Pipe And Killed 
Other, Employee Lacerates Fingers In Power Saw  Is Later Amputated 
Falls, Employee Is Injured In Fall From Ladder 
Other, Employee Is Injured When Saw Kicks Back 
Struck By Moving Objects, Employee Injured When Bladder Seal Exploded In Sewer Line 
Caught in/between Objects, Employee Injured When Crane Tipped 
Falls, Employee Injured When Pinned By Falling Metal Shield 
Suffocation, Employee Is Asphyxiated When Buried In Dust Avalanche 
Fires and Explosion, Two Employees Injured In Blast Furnace Explosion 
Struck By Moving Objects, Worker'S Leg Is Injured When Struck By Rock During Blasting 
Falls, Employee Falls From Roof  Later Dies 
Electrocution, Employee Electrocuted In Blasting Machine Accident 
Struck By Moving Objects, Employee Injured In Blasting Accident 
Other, Employee Possibly Ingests Bleach Solution And Is Poisoned 
Other, Employee Is Found Dead After Exposure To Chlorine 
Suffocation, Three Employees Exposed To Chemical Vapors 
Other, Employee'S Left Hand Nearly Severed In Concrete Hopper 
Other, Employee'S Thumb Amputated While Installing Water Pipes 
Electrocution, Employee Electrocuted Servicing Steamer Oven 
Electrocution, Employee Suffers Electric Shock Pulling Wires On Panel Box 
Electrocution, Employee Suffers Electric Shock From Energized Cable 
Falls, Worker Is Injured In Fall From Unsecured Ladder 
Struck By Moving Objects, Employee Injured During Ground Support Installation 
Collapse of object, Employee Is Killed When Trench Collapses 
Struck By Moving Objects, Employee Is Killed When Struck Head Against A Steel Pole 
Falls, Employee Is Killed In Fall From Scaffold 
Other, Employee Is Injured By Flying Debris From Tire Blowout 
Struck By Moving Objects, Employee Killed When Rim Assembly Blows Off Inflating Tire 
Other, Temporary Worker Operating Power Saw Cuts Knee 
Other, Employee Using Circular Saw Amputates Fingertip 
Other, Employee Loses Fingers In Table Saw Accident 
Falls, Employee Fractures Arm In Fall From Roof 
Fires and Explosion, Worker Dismantling Boiler Is Burned In Gas Explosion 
Falls, Employee Suffers Several Fractures Due To A Fall From A Scaf 
Struck By Moving Objects, Employee Is Killed When Struck By Exploding Boiler 
Falls, Employee Suffers Multiple Fractures In Fall From Scaffold 
Falls, Employee Suffers Head Trauma In Fall Through Skylight 
Collapse of object, Employee Suffers Multiple Fractures When Barn Roof Collapses 
Caught in/between Objects, Employee Dies In Hoist Accident 
Falls, Employee Fractures Back And Shoulder In Fall From Scaffold 
Falls, Employee Is Killed In Fall From Beam 
Falls, Employee Is Killed In Fall After Unhooking Fall Protection 
Falls, Employee Injures Back In Fall From Steel Structure 
Falls, Employee Fractures Ankles In Fall From Steel Form 
Collapse of object, Employee Is Killed During Renovation 
Falls, Fall From A Ladder 
Struck By Moving Objects, Employee Suffers Eye Injury When Hit By A Falling Nut 
Falls, Employee'S Leg Fractured In Fall From Structural Steel 
Fires and Explosion, Employee Burned When Vapors From Bonding Adhesive Ignite 
Caught in/between Objects, Employee Fractures Metatarsal When Boom Drops 
Electrocution, Employee Suffers Burns When Lift Contacts Power Line 
Other, Mechanic'S Finger Is Caught In Crane Part And Amputated 
Electrocution, Worker Installing Water Pipeline Is Electrocuted 
Falls, Two Workers Are Injured When Truck Falls Off Bridge 
Electrocution, Employee Is Killed When Boom Basket Contacts Power Line 
Struck By Moving Objects, Two Employees Are Struck And Injured By Metal Cables 
Other, Employee Is Injured When Ejected From Bucket 
Electrocution, Employee Electrocuted When Boom Strikes Power Line 
Falls, Employee Killed When Bucket Truck Overturns 
Electrocution, Two Overhead Line Workers Suffer Electric Shock  One Dies 
Other, Employee Is Killed By Fall From Broken Boom Base 
Other, Employee Is Injured By Moving Stairway Leg 
Electrocution, Employee Is Killed From Electric Shock 
Struck By Moving Objects, One Employees Is Injured When Boring Machine Overturns 
Struck By Moving Objects, Excavator Is Killed In Pressurized Release Of Grout And Rock 
Struck By Moving Objects, Employee Is Killed By Overturned Auger Boring Machine 
Struck By Moving Objects, Employee Is Electrocuted While Boring With Auger 
Other, Employee Injured When Pant Leg Caught By Rotating Borer 
Struck By Moving Objects, Employee Is Killed When Crushed By Boring Machine 
Falls, Fall Into Shaft Kills Machine Operator 
Struck By Moving Objects, Employee Crushed Between Drill Boom And Courthouse 
Struck By Moving Objects, Employee Is Killed When Caught By Rotating Reamer 
Caught in/between Objects, Employee Crushes Finger In Tunnel Boring Machine 
Caught in/between Objects, Employee Injured While Operating Boring Machine 
Falls, Employee Is Killed In Fall From Parking Garage 
Falls, Employee Sustains Abrasions And Contusions In Fall 
Falls, Employee Falls And Fractures Pelvis 
Falls, Employee Killed By Fall 
Falls, Employee Injured In Fall Inside A Water Tank 
Falls, Employee'S Leg Fractured In Fall From Bosun'S Chair 
Falls, Employee Killed In Fall When Rope Broke 
Falls, Employee Killed In Fall When Bosun'S Chair Fails 
Struck By Moving Objects, Employee Injured When Struck By Boulder Rolling Into Trench 
Struck By Moving Objects, Operator Is Crushed And Killed By Paving Equipment 
Collapse of object, Employee Dies After Being Pinned By Boulder In Trench 
Struck By Moving Objects, Employee Killed When Struck By Falling Steel Tube 
Other, Employee Injured When Pinned Between Boulders 
Struck By Moving Objects, Employee Killed When Rock Falls Into Excavation 
Collapse of object, Employee Killed When Crushed By Rolling Boulder 
Caught in/between Objects, Employee Amputates Tip Of Finger 
Other, Employee Injured When Finger Caught Under Tool Box Lid 
Falls, Worker Falls From Unsecured Scaffold And Injures Back 
Falls, Employee Fractures Foot Whenstructural Brace Falls From Cart 
Collapse of object, Employee Is Crushed By Falling Concrete Wall  Later Dies 
Collapse of object, Employee Is Injured In Fall From Ladder 
Electrocution, Two Employees Electrocuted As Scaffold Contacts Power Line 
Falls, Employee Is Injured In Fall Into Elevator Shaft  Later Dies 
Caught in/between Objects, Worker Is Struck By Suspended Load Brace Later Dies 
Collapse of object, Employee Is Injured In Collapse Of Trusses 
Falls, Welder Is Killed In Fall While Cutting Out Pollution Pan 
Falls, Employee Falls From Elevation  Sustains Minor Injuries 
Falls, Employee Injures Ankle In Scaffold Collapse 
Falls, Two Workers Fall From Unsecured Joist And Sustain Fractures 
Falls, Worker Standing On Raised Plywood Falls  Sustains Injuries 
Falls, Employee Is Injured In Fall From Ladder 
Collapse of object, Worker Is Killed In Trench Collapse 
Falls, Employee Falls While Coating Stucco  Later Dies 
Collapse of object, Three Carpenters Are Hurt When Trusses Fail 
Struck By Moving Objects, One Employee Killed  One Injured When Struck By Bulkhead 
Collapse of object, Employee Killed When Struck By Falling Wall 
Collapse of object, Employee Injured When Struck And Pinned By Fallen Wall 
Falls, Employee Dislocates Elbow In Fall After Ladder Slides Out 
Falls, Employee Killed In Fall When Scaffold Collapses In Wind 
Falls, Employee Fractures Leg In Fall When Ladder Slips Out 
Falls, Two Employees Injured In Fall From Unsecured Scaffold 
Falls, Employee Killed In Fall When Wooden Floor Collapses 
Falls, Employee Killed In Fall From Work Platform 
Falls, Worker Dies From Head Trauma After Falling From Ladder 
Falls, Worker Sustains Concussion In Arrested Fall 
Falls, Crew Leader Is Killed In Fall From Unguarded Platform 
Struck By Moving Objects, Worker Dies After Shooting Himself In Face With Nail Gun 
Falls, Employee Falls From Roof And Is Injured 
Other, Roofing Worker Dies After Cerebral Hemorrhage 
Falls, Employee Falls From Platform Injuring His Head 
Struck By Moving Objects, One Employee Killed  Two Injured In Train Collision 
Fires and Explosion, Electrical Repair Worker Is Shocked And Burned By Arc Flash 
Falls, Owner Falls From Ladder Due To Electrical Explosion 
Fires and Explosion, Employee Suffers Burns To Arm And Leg When Fuel Ignites 
Falls, Employee Falls From Ladder And Is Killed 
Falls, Employee Is Injured In Fall From Scalfold 
Other, Employee Dies From Apparent Heart Attack 
Falls, Employee Falls And Suffers Abrasions  Lacerations 
Other, Employee Fell Sick While Shoveling Mortar  Later Died 
Falls, Employee Is Injured In Fall From Scaffold  Later Dies 
Falls, Bricklayer Sustains Fracture In Fall From Scaffold 
Exposure to extreme temperatures, Employee Dies From Heat Related Cardiac Arrest 
Collapse of object, Employee Is Injured When Struck By Falling Debris 
Falls, Bricklayer Fell 19 Feet Down Unguarded Elevator Shaft 
Falls, Employee Fractures Vertebrae In Fall From Brick Wall 
Falls, Three Employees Are Injured When Bar Joist Collapses 
Struck By Moving Objects, Worker Crushed Between Railing And Bridge Girder 
Struck By Moving Objects, Employee Is Pinned Between Skidder And Bridge And Is Killed 
Suffocation, Three Bridge Workers Are Sickened By Carbon Monoxide 
Electrocution, Painter Is Electrocuted On Bridge Framework 
Struck By Moving Objects, Employee Breaks Hip When Run Over By Track Skidsteer 
Falls, Crane Overturns Killing One Employee Injuring Three Others 
Other, Bridge Project Foreman Is Killed When Bus Strikes Guardrail 
Falls, Iron Worker Fractures Hip In Fall On Bridge 
Falls, Employee Is Killed In Fall From A Bridge 
Struck By Moving Objects, Employee Is Caught Between Lift Bucket And Beam And Killed 
Falls, Employee Suffers Fall From A Bridge 
Falls, Employee Injures Back In Fall From Bridge 
Struck By Moving Objects, Employee'S Leg Fractured When Struck By Falling Beam 
Falls, Employee Is Killed When He Falls From Elevation Into Bay 
Struck By Moving Objects, Employees Are Injured While Building Bridge Formwork 
Falls, Employee Falls Onto Rocks And Dies 
Falls, Two Employees Are Injured When Steel Cage Bridge Collapses 
Collapse of object, Employee Killed When Rebar Structure Collapses 
Struck By Moving Objects, Two Employees Killed By Falling Load 
Falls, Employee Falls 90 Feet From Bridge When Tie
Collapse of object, Employee Killed When Crushed By Rebar Bridge Column 
Falls, One Employee Killed  Two Injured In Bridge Collapse 
Struck By Moving Objects, Crane Strikes Aerial Lift  Kills One Worker At Scene 
Falls, Employee Falls Through Floor Opening  Receives Multiple Inju 
Falls, Employee Killed In Fall While Installing Bridge Decking 
Falls, Employee Falls 30 Ft In Bridging Operation  Later Dies 
Struck By Moving Objects, Employee Is Struck And Killed By Truck At Construction Site 
Caught in/between Objects, Employee Is Injured When Struck By Rigging 
Falls, Employee Falls From Elevation And Is Killed 
Falls, Employee Killed In Fall From Bridge 
Falls, Employee Injured In Fall When Support Beam Breaks 
Falls, Employee Falls To His Death After Fall Protection Fails 
