Cause,Title
Falls,employee fall demolishing amusement ride killed
Falls,employee fall roof killed
Falls,carpenter injured fall wall
Falls,employee fracture back fall roof
Falls,construction worker sustains fracture fall roof
Falls,worker dy fall cellular tower
Falls,employee fall decking killed
Falls,dam worker tie
Falls,worker fall roof sustains multiple fracture
Struck By Moving Objects,employee killed struck falling ceiling
Falls,roofer killed fall house
Falls,carpenter injured fall ladder
Falls,worker survives sixty
Electrocution,employee sustains electric shock
Falls,roofer fall 40 foot dy wearing ppe
Falls,worker fall ladder sustains serious brain injury
Suffocation,two employee exposed anhydrous ammonia
Falls,worker fall ladder fracture leg ankle
Other,employee cut ankle saw
Struck By Moving Objects,two employee struck flatbed truck one killed
Struck By Moving Objects,worker foot crushed mobile home installation
Falls,two worker injured struck falling plywood
Falls,worker fracture ankle fall unsecured plank
Falls,employee fall fracture ankle roof work
Falls,worker fall break foot ladder fall
Falls,employee killed fall tower
Struck By Moving Objects,employee finger amputated lowering antenna
Falls,employee killed fall tower
Struck By Moving Objects,employee killed forklift flip
Falls,employee killed fall tower
Struck By Moving Objects,employee killed struck antenna
Falls,employee killed fall communication tower
Falls,employee killed fall communication tower
Falls,employee killed fall tower
Falls,employee injured fall descending antenna tower
Other,maintenance worker catch fire arc cutting
Fires and Explosion,employee suffers thermal burn right side body
Fires and Explosion,worker burned arc welding
Fires and Explosion,employee receives burn garment catch fire
Fires and Explosion,employee sustains burn using carbon arc welder
Other,employee found dead arc welding support pole
Electrocution,employee electrocuted contact arc welder cable
Electrocution,employee electrocuted arc welding
Other,employee received burn arc flash
Suffocation,employee asphyxiated argon confined space
Suffocation,employee dy asphyxia inhalation argon gas
Other,foreman operating chop saw cut lower arm
Falls,employee fall roof fracture arm
Fires and Explosion,employee suffers burn caught flash fire
Electrocution,electric shock
Struck By Moving Objects,employee struck sliver metal later dy
Falls,worker incurs arterial tear scaffold fall dy
Struck By Moving Objects,employee crushed steel drill casing
Struck By Moving Objects,owner killed saw cut artery
Collapse of object,employee killed rescue attempt backhoe
Collapse of object,multiple employee injured scaffold collapse
Falls,employee fracture ankle jumping ladder
Collapse of object,employee killed struck collapsing wall
Falls,employee injured fall installing decking
Falls,employee dy fall ladder
Falls,employee injured fall ladder
Falls,employee killed fall opening floor
Suffocation,employee crushed killed descending elevator car
Falls,employee killed fall roof
Falls,employee fall elevator shaft
Electrocution,employee electrocuted asbestos removal
Suffocation,employee dy mesothelioma
Falls,employee killed fall roof framework
Suffocation,ten employee injured carbon monoxide exposure
Falls,employee suffers head back injury fall
Falls,employee killed fall elevated platform
Falls,employee injured fall moving scaffold
Suffocation,employee dy asphyxia engulfed fly ash
Struck By Moving Objects,employee killed struck vehicle
Struck By Moving Objects,employee run dump truck killed
Exposure to extreme temperatures,worker paving highway experience heat related illness
Falls,employee suffers two fractured leg falling roof
Falls,power buggy driver catapulted incurs head knee injury
Other,roofer hand wrist burnt hot asphalt
Falls,employeed fall dump truck
Other,worker carrying hot asphalt fall burn forearm
Other,employee burn hand pouring hot asphalt
Struck By Moving Objects,employee killed caught vehicle house
Collapse of object,demolition worker fatally crushed falling concrete
Collapse of object,demolition worker killed trench collapse
Collapse of object,carpenter killed excavation collapse
Collapse of object,employee dy asphyxiation covered dirt
Other,employee thumb crushed equipment later amputated
Falls,fall communication antenna tower hospitalizes three
Other,employee severely injures hand caught winch hook
Falls,employee suffers contusion fall beam
Falls,employee injured fall scaffold rail give way
Falls,employee fracture vertebra fall onto steel protrusion
Struck By Moving Objects,employee leg injured k
Other,employee killed fire bulldozer
Falls,employee dy fall crane hook
Falls,employee killed fall aerial lift
Struck By Moving Objects,worker killed installing helical pile jobsite
Electrocution,employee electrocuted energized plug receptacle
Falls,employee fall roof killed
Other,employee injures eye hit attachment plug
Electrocution,electric shock
Electrocution,electric shock
Falls,worker fall hatch door open fracture leg wrist
Falls,employee killed fall attic opening
Electrocution,employee electrocuted un
Falls,employee fracture leg fall
Falls,worker injured fall attic
Falls,worker fracture leg fall ladder
Suffocation,employee killed fire spraying insulation
Falls,employee killed fals hole attic
Caught in/between Objects,employee amputates hand construction equipment
Other,employee fracture leg struck steel frame
Struck By Moving Objects,employee lacerates finger caught extension tool
Other,employer struck killed auger
Caught in/between Objects,employee injured caught auger digging machine
Caught in/between Objects,employee injured operating unisul spraying machine
Struck By Moving Objects,driver strike two highway maintenance worker kill one
Other,employee crushed death avalanche
Falls,roofer sustains multiple injury fall ladder
Falls,employee fall trench injured
Struck By Moving Objects,skill saw kicked back lacerated solar worker hand
Struck By Moving Objects,employee fracture back struck wood beam
Falls,supervisor fall ladder injures back head
Falls,worker fall scaffold ladder fracture back hip
Falls,worker injures back boom lift run away grade
Struck By Moving Objects,employee injured falling door later dy
Struck By Moving Objects,employee injured loader roll
Struck By Moving Objects,employee trench struck back falling dirt
Struck By Moving Objects,road construction worker crushed roller machine
Caught in/between Objects,employee killed run trailer
Other,employee crush finger tip bucket
Collapse of object,employee suffers skull fracture structural collapse wi
Struck By Moving Objects,employee crushed killed excavator
Struck By Moving Objects,employee hit trench back hoe
Struck By Moving Objects,employee killed pinned backhoe
Other,employee trench struck killed bucket backhoe
Other,backhoe operator pinned boom outrigger
Falls,employee tibia injured struck backhoe bucket
Struck By Moving Objects,employee trench injured hit concrete debris
Struck By Moving Objects,employee killed struck steel pipe
Struck By Moving Objects,water well drillers hand crushed backhoe
Struck By Moving Objects,employee killed backhoe boom outrigger
Struck By Moving Objects,employee crushed killed backhoe boom
Other,employee fracture rib struck backhoe boom
Struck By Moving Objects,employee killed crushed backhoe boom
Struck By Moving Objects,employee killed struck backhoe
Struck By Moving Objects,backhoe crush employee
Struck By Moving Objects,employee killed crushed backhoe boom
Electrocution,employee electrocuted backhoe boom strike power line
Other,employee struck backhoe boom
Caught in/between Objects,employee dy crushed backhoe bucket
Electrocution,electric shock
Caught in/between Objects,employee injures leg struck manhole base
Struck By Moving Objects,one killed one injured backhoe loader overturn
Struck By Moving Objects,employee killed backhoe tip side
Struck By Moving Objects,employee finger amputated backhoe arm
Caught in/between Objects,backhoe failure cause bucket strike worker killing
Struck By Moving Objects,employee leg fractured struck excavator bucket
Struck By Moving Objects,employee injured pinned excavator bucket
Struck By Moving Objects,employee killed caught loader backhoe
Struck By Moving Objects,employee injured struck backhoe bucket
Other,employee killed struck loaderbackhoe bucket
Struck By Moving Objects,employee killed struck falling excavator bucket
Other,employee killed struck backhoe bucket
Struck By Moving Objects,employee struck dump truck dy
Struck By Moving Objects,non
Struck By Moving Objects,employee injured run truck
Falls,electrical worker injured 12 ft fall ladder
Electrocution,employee receives shock came contact ballast
Electrocution,employee electrocuted changing ballast light fixture
Drowning,employee fall barge river drowns
Struck By Moving Objects,employee killed struck bow spud
Drowning,employee drowns crane slide barge
Falls,employee injured fall floor opening
Struck By Moving Objects,worker leg crushed k
Falls,eployee injured fall elevation later dy
Struck By Moving Objects,employee toe crushed falling rail later amputated
Struck By Moving Objects,road employee killed struck motor vehicle
Falls,worker killed fall roof
Falls,employee killed fall road barrier
Struck By Moving Objects,employee struck excavator killed
Falls,employee injured fall floor opening
Struck By Moving Objects,two employee killed struck truck
Falls,steel beam erector fall fracture arm
Collapse of object,one worker killed one injured falling steel beam
Other,steel bean roll employee foot amputates toe
Falls,employee fall beam suffers multiple injury
Struck By Moving Objects,employee found dead elevator shaft
Falls,employee fall fracture ankle
Struck By Moving Objects,employee get foot amputation struck stee
Struck By Moving Objects,worker struck killed falling steel beam
Falls,employee injured pulled bridge falling beam
Other,employee finger amputated lathe
Falls,worker fall retaining wall fleeing swarm bee
Other,worker dy stung bee
Other,employee injured saw jumping ladder
Drowning,employee drowns river cleaning debris
Collapse of object,employee injured trench cave
Struck By Moving Objects,pipeline worker struck falling pipe killed
Other,employee lacerates finger power saw later amputated
Falls,employee injured fall ladder
Other,employee injured saw kick back
Struck By Moving Objects,employee injured bladder seal exploded sewer line
Caught in/between Objects,employee injured crane tipped
Falls,employee injured pinned falling metal shield
Suffocation,employee asphyxiated buried dust avalanche
Fires and Explosion,two employee injured blast furnace explosion
Struck By Moving Objects,worker leg injured struck rock blasting
Falls,employee fall roof later dy
Electrocution,employee electrocuted blasting machine accident
Struck By Moving Objects,employee injured blasting accident
Other,employee possibly ingests bleach solution poisoned
Other,employee found dead exposure chlorine
Suffocation,three employee exposed chemical vapor
Other,employee left hand nearly severed concrete hopper
Other,employee thumb amputated installing water pipe
Electrocution,employee electrocuted servicing steamer oven
Electrocution,employee suffers electric shock pulling wire panel box
Electrocution,employee suffers electric shock energized cable
Falls,worker injured fall unsecured ladder
Struck By Moving Objects,employee injured ground support installation
Collapse of object,employee killed trench collapse
Struck By Moving Objects,employee killed struck head steel pole
Falls,employee killed fall scaffold
Other,employee injured flying debris tire blowout
Struck By Moving Objects,employee killed rim assembly blow inflating tire
Other,temporary worker operating power saw cut knee
Other,employee using circular saw amputates fingertip
Other,employee loses finger table saw accident
Falls,employee fracture arm fall roof
Fires and Explosion,worker dismantling boiler burned gas explosion
Falls,employee suffers several fracture due fall scaf
Struck By Moving Objects,employee killed struck exploding boiler
Falls,employee suffers multiple fracture fall scaffold
Falls,employee suffers head trauma fall skylight
Collapse of object,employee suffers multiple fracture barn roof collapse
Caught in/between Objects,employee dy hoist accident
Falls,employee fracture back shoulder fall scaffold
Falls,employee killed fall beam
Falls,employee killed fall unhooking fall protection
Falls,employee injures back fall steel structure
Falls,employee fracture ankle fall steel form
Collapse of object,employee killed renovation
Falls,fall ladder
Struck By Moving Objects,employee suffers eye injury hit falling nut
Falls,employee leg fractured fall structural steel
Fires and Explosion,employee burned vapor bonding adhesive ignite
Caught in/between Objects,employee fracture metatarsal boom drop
Electrocution,employee suffers burn lift contact power line
Other,mechanic finger caught crane part amputated
Electrocution,worker installing water pipeline electrocuted
Falls,two worker injured truck fall bridge
Electrocution,employee killed boom basket contact power line
Struck By Moving Objects,two employee struck injured metal cable
Other,employee injured ejected bucket
Electrocution,employee electrocuted boom strike power line
Falls,employee killed bucket truck overturn
Electrocution,two overhead line worker suffer electric shock one dy
Other,employee killed fall broken boom base
Other,employee injured moving stairway leg
Electrocution,employee killed electric shock
Struck By Moving Objects,one employee injured boring machine overturn
Struck By Moving Objects,excavator killed pressurized release grout rock
Struck By Moving Objects,employee killed overturned auger boring machine
Struck By Moving Objects,employee electrocuted boring auger
Other,employee injured pant leg caught rotating borer
Struck By Moving Objects,employee killed crushed boring machine
Falls,fall shaft kill machine operator
Struck By Moving Objects,employee crushed drill boom courthouse
Struck By Moving Objects,employee killed caught rotating reamer
Caught in/between Objects,employee crush finger tunnel boring machine
Caught in/between Objects,employee injured operating boring machine
Falls,employee killed fall parking garage
Falls,employee sustains abrasion contusion fall
Falls,employee fall fracture pelvis
Falls,employee killed fall
Falls,employee injured fall inside water tank
Falls,employee leg fractured fall bosun chair
Falls,employee killed fall rope broke
Falls,employee killed fall bosun chair fails
Struck By Moving Objects,employee injured struck boulder rolling trench
Struck By Moving Objects,operator crushed killed paving equipment
Collapse of object,employee dy pinned boulder trench
Struck By Moving Objects,employee killed struck falling steel tube
Other,employee injured pinned boulder
Struck By Moving Objects,employee killed rock fall excavation
Collapse of object,employee killed crushed rolling boulder
Caught in/between Objects,employee amputates tip finger
Other,employee injured finger caught tool box lid
Falls,worker fall unsecured scaffold injures back
Falls,employee fracture foot whenstructural brace fall cart
Collapse of object,employee crushed falling concrete wall later dy
Collapse of object,employee injured fall ladder
Electrocution,two employee electrocuted scaffold contact power line
Falls,employee injured fall elevator shaft later dy
Caught in/between Objects,worker struck suspended load brace later dy
Collapse of object,employee injured collapse truss
Falls,welder killed fall cutting pollution pan
Falls,employee fall elevation sustains minor injury
Falls,employee injures ankle scaffold collapse
Falls,two worker fall unsecured joist sustain fracture
Falls,worker standing raised plywood fall sustains injury
Falls,employee injured fall ladder
Collapse of object,worker killed trench collapse
Falls,employee fall coating stucco later dy
Collapse of object,three carpenter hurt truss fail
Struck By Moving Objects,one employee killed one injured struck bulkhead
Collapse of object,employee killed struck falling wall
Collapse of object,employee injured struck pinned fallen wall
Falls,employee dislocates elbow fall ladder slide
Falls,employee killed fall scaffold collapse wind
Falls,employee fracture leg fall ladder slip
Falls,two employee injured fall unsecured scaffold
Falls,employee killed fall wooden floor collapse
Falls,employee killed fall work platform
Falls,worker dy head trauma falling ladder
Falls,worker sustains concussion arrested fall
Falls,crew leader killed fall unguarded platform
Struck By Moving Objects,worker dy shooting face nail gun
Falls,employee fall roof injured
Other,roofing worker dy cerebral hemorrhage
Falls,employee fall platform injuring head
Struck By Moving Objects,one employee killed two injured train collision
Fires and Explosion,electrical repair worker shocked burned arc flash
Falls,owner fall ladder due electrical explosion
Fires and Explosion,employee suffers burn arm leg fuel ignites
Falls,employee fall ladder killed
Falls,employee injured fall scalfold
Other,employee dy apparent heart attack
Falls,employee fall suffers abrasion laceration
Other,employee fell sick shoveling mortar later died
Falls,employee injured fall scaffold later dy
Falls,bricklayer sustains fracture fall scaffold
Exposure to extreme temperatures,employee dy heat related cardiac arrest
Collapse of object,employee injured struck falling debris
Falls,bricklayer fell 19 foot unguarded elevator shaft
Falls,employee fracture vertebra fall brick wall
Falls,three employee injured bar joist collapse
Struck By Moving Objects,worker crushed railing bridge girder
Struck By Moving Objects,employee pinned skidder bridge killed
Suffocation,three bridge worker sickened carbon monoxide
Electrocution,painter electrocuted bridge framework
Struck By Moving Objects,employee break hip run track skidsteer
Falls,crane overturn killing one employee injuring three others
Other,bridge project foreman killed bus strike guardrail
Falls,iron worker fracture hip fall bridge
Falls,employee killed fall bridge
Struck By Moving Objects,employee caught lift bucket beam killed
Falls,employee suffers fall bridge
Falls,employee injures back fall bridge
Struck By Moving Objects,employee leg fractured struck falling beam
Falls,employee killed fall elevation bay
Struck By Moving Objects,employee injured building bridge formwork
Falls,employee fall onto rock dy
Falls,two employee injured steel cage bridge collapse
Collapse of object,employee killed rebar structure collapse
Struck By Moving Objects,two employee killed falling load
Falls,employee fall 90 foot bridge tie
Collapse of object,employee killed crushed rebar bridge column
Falls,one employee killed two injured bridge collapse
Struck By Moving Objects,crane strike aerial lift kill one worker scene
Falls,employee fall floor opening receives multiple inju
Falls,employee killed fall installing bridge decking
Falls,employee fall 30 ft bridging operation later dy
Struck By Moving Objects,employee struck killed truck construction site
Caught in/between Objects,employee injured struck rigging
Falls,employee fall elevation killed
Falls,employee killed fall bridge
Falls,employee injured fall support beam break
Falls,employee fall death fall protection fails
Falls,employee killed fall bridge construction
Falls,employee killed fall bridge
Falls,employee injured falsework collapse fall
Falls,employee killed fall walkway collapse
Falls,employee killed fall bridge form collapse
Falls,employee injured fall bridge deck fails
Other,employee foot injured falling bridge support beam
Struck By Moving Objects,employee struck falling object killed
Collapse of object,employee foot injured bridging
Caught in/between Objects,employee leg amputated rock crusher
Falls,employee spine fractured fall elevated level
Struck By Moving Objects,employee struck bar joist
Struck By Moving Objects,employee struck broken boom dy
Falls,employee injured fall scaffold cable snap
Falls,employee killed fall side high rise
Falls,two employee killed fall gondola cable break
Struck By Moving Objects,employee killed crane cable fails release load
Falls,employee killed fall hoist line communication tow
Struck By Moving Objects,employee dy struck broken cable
Falls,employee injured fall ejected truck bucket
Falls,two employee killed fall scaffold cable broke
Struck By Moving Objects,employee suffered face injury broken cable
Struck By Moving Objects,machine operator injured removing pile
Struck By Moving Objects,two employee killed struck steel sheet
Caught in/between Objects,employee killed falling concrete block
Struck By Moving Objects,employee killed struck rolling object
Struck By Moving Objects,employee receives injury struck broken chain
Falls,employee jaw fractured struck flying chain
Struck By Moving Objects,employee killed struck falling load
Struck By Moving Objects,employee killed sling break load fall
Caught in/between Objects,employee leg crushed concrete block
Struck By Moving Objects,employee knee fractured struck flying equipment
Struck By Moving Objects,employee killed struck swinging trash box
Other,worker cut face piece glass moving break
Electrocution,employee fall ladder receiving electric shock
Falls,employee lacerates wrist fall greenhouse roof
Struck By Moving Objects,employee arm lacerated shattered glass
Other,employee arm lacerated struck falling glass
Falls,employee fracture ankle fall ladder
Falls,employee fall scaffold puncture lung fracture rib
Falls,employee fall aerial lift later dy
Struck By Moving Objects,employee killed struck beam falling
Falls,employee killed fall stairway railing fails
Falls,employee injured fall stair installation con
Falls,employee killed fall catwalk collapse
Struck By Moving Objects,employee arm crushed falling pipe
Falls,employee killed crushed falling ripper shank
Falls,employee injured fall walking steel beam
Falls,employee injured fall bracing fails
Electrocution,employee dy electric shock
Other,employee injured forklift tip forward
Falls,foreman injured fall
Falls,employee injured fall tripped broom handle
Caught in/between Objects,employee pulled chipper killed
Struck By Moving Objects,employee killed hit head piece metal
Struck By Moving Objects,owner struck killed loaderexcavator fails
Collapse of object,employee injured elevator leg collapse
Falls,employee killed fall truck bucket
Struck By Moving Objects,employee leg hip fractured excavator
Falls,employee dy falling bucket elevator
Struck By Moving Objects,employee killed struck skid steer loader
Struck By Moving Objects,employee killed tree crushed cab excavator
Struck By Moving Objects,employee killed struck excavator bucket
Falls,employee fall second
Falls,worker killed fall ladder
Falls,employee fall elevator later dy
Falls,construction worker killed fall ladder
Falls,residential siding installer killed fall ladder
Other,carpenter sawing rafter injured rafter slip
Falls,employee suffers abrasion fall scaffold
Falls,employee injured fall
Falls,employee injured slip fall roof
Collapse of object,one employee killed one injured building collapse
Falls,worker fracture back fall temporary platform
Falls,employee injured fall building collapse
Collapse of object,two employee injured building structure collapse
Falls,employee dy fall building collapse
Collapse of object,one killed another injured building collapse
Collapse of object,employee killed falling debris building collapse
Struck By Moving Objects,employee killed struck falling steel beam
Collapse of object,demolition worker killed structure collapse
Collapse of object,employee sustains fracture burn collapse kiln
Collapse of object,employee injured collapse pouring concrete
Collapse of object,employee killed building wall collapse
Falls,staircase collapse killing employee
Collapse of object,two employee injured truss collapsed
Falls,employee injured fall cow knock ladder
Falls,employee fracture hip fall catch basin
Struck By Moving Objects,employee crushed dozer roll killed
Struck By Moving Objects,employee dy bulldozer rollover
Struck By Moving Objects,employee killed backing bulldozer
Drowning,employee drowns bulldozer enters lake
Struck By Moving Objects,employee killed bulldozer rollover
Drowning,employee drowns dozer slip water
Struck By Moving Objects,employee killed bulldozer tip
Struck By Moving Objects,employee hit bulldozer
Struck By Moving Objects,employee struck pipe
Struck By Moving Objects,employee struck bull dozer receives serious injury
Other,employee killed ejected flipping bulldozer
Collapse of object,one worker killed one injured trench collapse
Collapse of object,employee buried excavation side collaspes dy
Suffocation,construction worker excavating trench killed cave
Collapse of object,employee injured trench collapse
Collapse of object,employee killed retaining wall collapse
Collapse of object,employee injuried trench cave
Collapse of object,employee fatally caught excavation collapse
Drowning,employee killed fall water well
Collapse of object,employee buried collapsed wall
Collapse of object,employee dy buried excavation collapse
Collapse of object,employee killed trench cave
Collapse of object,employee killed trench cave
Other,worker burned arc flash electric panelboard
Fires and Explosion,employee sustains heat burn leg fire ignites
Fires and Explosion,two demolition worker killed flash fire explosion
Fires and Explosion,electrician injured arc flash
Electrocution,electrical worker killed pulling wire
Falls,electrical worker shocked installing switch gear
Electrocution,employee burned arc flash
Electrocution,employee electrocuted panel
Electrocution,employee killed contact live bus electric panel
Fires and Explosion,five employee burned arc flash one later dy
Electrocution,employee killed electrical shock fall
Electrocution,employee burned arc flash meter installation
Fires and Explosion,employee burned arc flash work electrical cabinet
Suffocation,employee dy asphyxia butane inhalation
Falls,employee fall receives severe bruising
Falls,employee impaled buttock uncapped rebar
Falls,employee injured impaled scaffold support
Falls,employee injured backward fall impaled rebar
Falls,two employee killed fall basket attached crane
Electrocution,employee burned arc blast drilling energized l
Falls,employee injured fall elevation
Falls,employee fall ladder suffers minor injury
Falls,employee killed fall ladder
Falls,cable technician sustains fracture fall ladder
Falls,cable installer trip fracture ankle
Other,employee drowns canal grading slope
Suffocation,employee drowned bobcat flip pin underwater
Falls,employee exposed hazardous substance
Other,employee dy lung cancer work
Electrocution,employee electrocuted exposed capacitor part
Electrocution,employee killed changing capacitor
Electrocution,electric shock
Electrocution,electric shock
Suffocation,employee dy asphyxia sewer
Suffocation,employee dy barge carbon dioxide poisoning
Fires and Explosion,employee burned cut petroleum tank
Suffocation,employee dy asphyxiation manhole
Suffocation,employee dy generator exhaust cause asphyxiation
Suffocation,employee overcome carbon monoxide tunnel
Suffocation,employee dy carbon monoxide glycolic acid exposure
Suffocation,two employee overcome carbon monoxide gas
Suffocation,three employee treated inhaling carbon monoxide
Suffocation,employee sustain carbon monoxide poisoning
Fires and Explosion,employee burn hand forearm starting truck
Other,employee burn hand priming carburator
Other,worker dy asthma attack cardiac arrest
Electrocution,handyman installing attic exhaust fan found dead
Other,worker collapse dy heart attack
Other,employee dy heart attack
Other,worker found unconscious dy cardiovascular disease
Falls,carpenter fall framing sustains hand fracture
Other,owner killed thrown forklift
Falls,worker injures shoulder rib fall scaffold
Falls,employee fall platform fracture leg foot
Falls,carpenter fall 10 ft ground injured
Other,employee amputates thumb saw skilsaw
Other,worker using saw cut hand three finger amputated
Struck By Moving Objects,nail strike carpenter eye
Other,skilsaw kick back cutting lacerates worker leg
Falls,worker fall truck bed break tibia
Other,worker loses control saw lacerates leg
Falls,construction foreman fall scaffold injures head
Falls,construction worker killed fall scaffold
Falls,employee fracture vertebra fall mobile scaffold
Falls,employee injured fall rolling platform overturned
Caught in/between Objects,employee arm amputated pulled well cathead
Falls,two killed one employee injured fall
Struck By Moving Objects,employee killed struck loader bucket
Collapse of object,employee finger crush falling metal catwalk
Falls,truck driver fracture leg fall trailer catwalk
Falls,employee injured catwalk collapse
Falls,employee dy fall
Falls,electrician injures back fall catwalk
Falls,employee fall basement area
Falls,employee killed fall roof
Falls,employee killed 15
Caught in/between Objects,worker toe fractured truck roll forward
Caught in/between Objects,drillers leg fractured struck pipe wrench
Collapse of object,employee killed trench cave
Collapse of object,worker sustains multiple injury trench collapse
Collapse of object,employee get engulfed partial trench cave
Collapse of object,laborer suffers multiple fracture trench collapse
Collapse of object,employee asphyxiated trench collapse
Collapse of object,employee injured working trench
Collapse of object,employee injured trench collapse
Collapse of object,trench cave
Collapse of object,employee injured trench collapse
Collapse of object,two employee injured trench cave
Collapse of object,employee killed employee injured trench collapse
Falls,painter sustains multiple injury fall ladder
Falls,worker fall elevation fracture hip
Falls,hvac worker injured fall suspended ceiling grid
Falls,employee fall ceiling injured
Falls,carpenter fall ladder fracture skull face
Falls,worker injured fall defective scaffold
Falls,employee suffers multiple fracture fall scaffold
Falls,employee fracture ankle fall ceiling
Falls,employee injured fall drop ceiling
Falls,employee killed fall ceiling opening
Falls,employee fracture spine fall ceiling panel
Falls,employee fall ceiling opening sustains fracture
Falls,employee injured fall stepladder
Falls,employee fractured tibia fibula fall ceiling
Collapse of object,demolition worker killed tower collapse
Struck By Moving Objects,three employee injured concrete pipe erupts
Other,employee get cement dust eye suffers chemical burn
Struck By Moving Objects,employee
Struck By Moving Objects,employee struck automobile dragged later dy
Struck By Moving Objects,employee knocked covered wet cement
Falls,employee killed fall elevated work platotform
Falls,employee suffers multiple fracture fall roof
Suffocation,two employee die asphyxia manhole
Collapse of object,employee killed pinned cement wall
Other,employee finger amputated caught cement mixer
Struck By Moving Objects,chain mounted come
Struck By Moving Objects,three employee struck steel plate one killed
Caught in/between Objects,worker performing excavation work sustains finger amputation
Struck By Moving Objects,worker extracting pipe struck steel chain sling
Struck By Moving Objects,chain saw operator struck killed tree root ball
Struck By Moving Objects,worker leg amputated struck truck
Fires and Explosion,two employee burned hot water release
